상권_코드,주중_매출_건수,주중_매출_금액,주중_매출_평균,당월_매출_금액,당월_매출_건수,당월_매출_평균,주말_매출_금액,주말_매출_건수,주말_매출_평균,상권_구분_코드,상권_구분_코드_명,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
3110001,38837,1166682674,30040.49421942993,1718660885,54725,31405.40676107812,551978211,15888,34741.83100453172,A,골목상권,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,561,373,13,172,5,24
3110002,1222220,13513197795,11056.272843677898,17094943165,1645269,10390.363621389572,3581745370,423049,8466.502390975986,A,골목상권,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,702,714,27,424,19,59
3110003,57997,2277376828,39267.14878355777,3147067601,76216,41291.42963419754,869690773,18219,47735.373675832925,A,골목상권,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,1215,668,28,717,17,101
3110004,13236,583406626,44077.26095497129,1045669068,20460,51107.97008797654,462262442,7224,63989.81755260244,A,골목상권,대신고등학교,196517,452627,11110,종로구,11110580,교남동,18781,775,782,34,748,22,87
3110005,35929,2271560571,63223.59573046843,2675447244,46688,57304.81588416724,403886673,10759,37539.42494655637,A,골목상권,세검정,196688,455706,11110,종로구,11110550,부암동,244923,963,458,18,467,15,68
3110007,1530,63039234,41202.1137254902,85000356,1997,42564.024036054085,21961122,467,47025.95717344754,A,골목상권,사직공원(한국사회과학도서관),196895,452714,11110,종로구,11110530,사직동,80252,2663,948,70,761,57,129
3110008,655996,8317792481,12679.639023713558,13659851245,1055179,12945.529853228694,5342058764,399183,13382.480626679991,A,골목상권,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,4126,896,126,914,125,173
3110009,56949,1774905563,31166.579975065408,3075527303,104383,29463.871540384927,1300621740,47434,27419.6091411224,A,골목상권,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,690,483,26,243,13,37
3110010,467720,8672734769,18542.578399469767,11683678576,620679,18824.027518250172,3010943807,152959,19684.646258147608,A,골목상권,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,1302,700,46,526,28,108
3110012,368222,6976899936,18947.53690979898,8525810561,470614,18116.35557165745,1548910625,102392,15127.262139620285,A,골목상권,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348,6658,791,166,879,184,433
3110013,578,32535608,56289.97923875433,42168269,858,49147.16666666666,9632661,280,34402.360714285714,A,골목상권,체부동홍종문가옥,197340,453202,11110,종로구,11110530,사직동,17064,2614,712,85,801,85,180
3110014,32981,676201726,20502.766016797552,1009390701,44142,22866.900027184995,333188975,11161,29852.967924021144,A,골목상권,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411,606,682,21,417,17,25
3110015,43711,1647178223,37683.379995882045,2479494138,67590,36684.33404349756,832315915,23879,34855.559906193725,A,골목상권,청와대사랑채,197585,453623,11110,종로구,11110515,청운효자동,69399,1593,599,42,294,29,43
3110016,23256,798040603,34315.47140522876,1527293915,41457,36840.43502906626,729253312,18201,40066.66183176749,A,골목상권,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818,654,398,18,489,10,25
3110018,59824,1943480915,32486.642735357047,2863405310,85321,33560.38150045124,919924395,25497,36079.71114248735,A,골목상권,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,1972,683,53,561,59,140
3110019,151629,2646376506,17452.970777357892,4064110239,222112,18297.57167104884,1417733733,70483,20114.548657123,A,골목상권,창덕궁,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999,4624,647,128,848,108,148
3110020,403888,3340551449,8270.984651685616,4442648992,532107,8349.164720629498,1102097543,128219,8595.430809786381,A,골목상권,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,1429,464,34,726,39,157
3110021,372641,4138980795,11107.153520412408,6313972435,523635,12057.96487056824,2174991640,150994,14404.490509556672,A,골목상권,성균관대학교,199759,453776,11110,종로구,11110650,혜화동,77655,2765,738,83,1055,93,387
3110022,80177,3264356494,40714.375618943086,3858924153,101295,38095.89962979416,594567659,21118,28154.54394355526,A,골목상권,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182,2330,731,66,627,47,172
3110023,180287,2153764505,11946.310632491528,2355001161,200596,11740.020543779538,201236656,20309,9908.74272490029,A,골목상권,서울대병원,200139,453265,11110,종로구,11110640,이화동,15969,943,699,37,320,29,227
3110024,186761,4900137314,26237.47631464813,6375399722,243721,26158.5982414318,1475262408,56960,25899.9720505618,A,골목상권,혜회동주민센터,200121,454192,11110,종로구,11110650,혜화동,52850,2032,933,69,809,52,213
3110025,138732,3036619589,21888.38616180838,3822595190,166618,22942.27028292261,785975601,27886,28185.31166176576,A,골목상권,충신시장옆,200370,452813,11110,종로구,11110630,종로5?6가동,39184,2446,640,70,719,42,175
3110026,48,4920633,102513.1875,4920633,48,102513.1875,0,0,,A,골목상권,종로5가역 4번,200477,452601,11110,종로구,11110630,종로5?6가동,16485,3057,585,85,572,65,153
3110027,40891,384921464,9413.354136607077,545741605,59654,9148.449475307609,160820141,18763,8571.131535468741,A,골목상권,혜화역 1번,200507,453618,11110,종로구,11110640,이화동,117673,2110,931,85,821,85,415
