상권_코드,주중_매출_건수,주중_매출_금액,주중_매출_평균,당월_매출_금액,당월_매출_건수,당월_매출_평균,주말_매출_금액,주말_매출_건수,주말_매출_평균,상권_구분_코드,상권_구분_코드_명,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
3001491,8188248,2.15079E+11,26266.75408,3.83388E+11,14789397,25923.13596,1.68309E+11,6601149,25496.90253,U,관광특구,이태원 관광특구,199498,448311,11170,용산구,11170650,이태원1동,372565,10053,718,214,692,145,284
3001492,43554770,1.19206E+12,27369.16239,1.48661E+12,53046757,28024.45789,2.94549E+11,9491987,31031.33571,U,관광특구,명동 남대문 북창동 다동 무교동 관광특구,198397,451614,11140,중구,11140520,소공동,983618,50274,430,412,725,569,2251
3001493,10473225,3.12086E+11,29798.45257,4.19962E+11,13902799,30207.03325,1.07876E+11,3429574,31454.75599,U,관광특구,동대문패션타운 관광특구,200996,451976,11140,중구,11140590,광희동,606058,75503,423,246,647,988,815
3001494,18392697,8.28576E+11,45049.18787,1.03488E+12,25375598,40782.52584,2.06305E+11,6982901,29544.2995,U,관광특구,종로?청계 관광특구,199796,452274,11110,종로구,11110615,종로1?2?3?4가동,653127,30209,492,250,921,344,919
3001495,25110689,7.78222E+11,30991.65248,1.27474E+12,40119578,31773.59111,4.96521E+11,15008889,33081.82041,U,관광특구,잠실 관광특구,210188,446334,11710,송파구,11710562,방이2동,2462734,14617,620,234,856,302,1246
3001496,14921064,5.96967E+11,40008.31381,8.75856E+11,21140123,41430.97908,2.7889E+11,6219059,44844.3457,U,관광특구,강남 마이스 관광특구,205282,445736,11680,강남구,11680580,삼성1동,237892,4916,287,19,377,44,461
3110001,55264,1486278215,26894.14836,2480053296,88482,28028.90188,993775081,33218,29916.76443,A,골목상권,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,226,100,1,0,1,12
3110002,1417817,21485454839,15153.89845,25099843060,1847548,13585.48902,3614388221,429731,8410.815652,A,골목상권,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,553,323,6,51,4,28
3110003,62586,2842631539,45419.60724,3576492233,79943,44738.02876,733860694,17357,42280.38797,A,골목상권,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,755,250,8,238,10,32
3110004,22018,871123188,39564.13789,1554729879,33744,46074.26147,683606691,11726,58298.37037,A,골목상권,대신고등학교,196517,452627,11110,종로구,11110580,교남동,18781,159,200,3,175,3,15
3110005,35376,2506602265,70856.01156,3094267406,47297,65422.06495,587665141,11921,49296.63124,A,골목상권,세검정,196688,455706,11110,종로구,11110550,부암동,244923,479,340,8,205,6,24
3110006,11071,145448360,13137.77979,281788962,21572,13062.71843,136340602,10501,12983.58271,A,골목상권,부암동주민센터,196701,454714,11110,종로구,11110550,부암동,91486,135,208,4,200,3,7
3110007,1699,107705762,63393.62095,166000000,2731,60783.59575,58294238,1032,56486.66473,A,골목상권,사직공원(한국사회과학도서관),196895,452714,11110,종로구,11110530,사직동,80252,437,144,4,77,3,4
3110008,830510,12164153195,14646.60654,19787961361,1298316,15241.25202,7623808166,467806,16296.94396,A,골목상권,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,1463,623,24,500,26,31
3110009,95813,2422519772,25283.83176,4382714876,177560,24683.00786,1960195104,81747,23978.80172,A,골목상권,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,604,530,9,180,6,20
3110010,345671,6497709247,18797.3803,9013522521,470297,19165.59647,2515813274,124626,20186.90541,A,골목상권,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,1055,449,12,378,18,56
3110012,422367,10987047998,26013.03605,13832600483,550204,25140.85772,2845552485,127837,22259.22452,A,골목상권,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348,3582,282,14,776,41,69
3110013,0,0,,1627222,16,101701.375,1627222,16,101701.375,A,골목상권,체부동홍종문가옥,197340,453202,11110,종로구,11110530,사직동,17064,148,100,1,0,0,0
3110014,36479,1091051013,29909.0165,1803687678,52264,34511.09134,712636665,15785,45146.44694,A,골목상권,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411,265,175,4,50,3,4
3110015,49484,556655363,11249.19899,904614033,79196,11422.47125,347958670,29712,11711.0484,A,골목상권,청와대사랑채,197585,453623,11110,종로구,11110515,청운효자동,69399,168,403,6,50,3,1
3110016,26523,998540582,37648.10097,1756855495,45092,38961.57844,758314913,18569,40837.68178,A,골목상권,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818,668,33,1,246,9,4
3110017,1346,14641042,10877.44577,31827972,2588,12298.28903,17186930,1242,13838.10789,A,골목상권,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855,308,244,4,300,5,4
3110018,125263,2917531808,23291.24967,4646529507,201182,23096.14929,1728997699,75919,22774.24227,A,골목상권,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,936,368,16,359,10,13
3110019,222931,4003572596,17958.7971,8139179058,285708,28487.75343,4135606462,62777,65877.73328,A,골목상권,창덕궁,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999,1557,469,20,517,20,22
3110020,559713,5742056628,10258.93025,7777110024,749673,10374.0031,2035053396,189960,10713.06273,A,골목상권,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,608,352,14,89,4,56
3110021,416471,5149394085,12364.3521,7818896567,587894,13299.84073,2669502482,171423,15572.60392,A,골목상권,성균관대학교,199759,453776,11110,종로구,11110650,혜화동,77655,709,516,13,341,13,54
3110022,390428,5790712813,14831.70473,7120985762,522372,13632.0204,1330272949,131944,10082.10263,A,골목상권,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182,594,278,7,252,9,28
3110023,369713,3716594689,10052.64811,4185603686,433050,9665.405117,469008997,63337,7404.976507,A,골목상권,서울대병원,200139,453265,11110,종로구,11110640,이화동,15969,206,245,10,74,7,51
3110024,167665,5063927490,30202.65106,6859857445,229045,29949.82403,1795929955,61380,29259.20422,A,골목상권,혜회동주민센터,200121,454192,11110,종로구,11110650,혜화동,52850,661,245,7,172,9,24
3110025,152064,3116141508,20492.30264,3774495922,174432,21638.78143,658354414,22368,29432.86901,A,골목상권,충신시장옆,200370,452813,11110,종로구,11110630,종로5?6가동,39184,361,300,3,110,4,5
3110026,320,24552165,76725.51563,40227030,499,80615.29058,15674865,179,87569.07821,A,골목상권,종로5가역 4번,200477,452601,11110,종로구,11110630,종로5?6가동,16485,241,100,2,100,1,4
3110027,63613,689528810,10839.43235,1084743151,105783,10254.41849,395214341,42170,9371.931254,A,골목상권,혜화역 1번,200507,453618,11110,종로구,11110640,이화동,117673,394,450,12,123,8,7
3110028,1631988,11972430748,7336.102194,15724982100,2140656,7345.870658,3752551352,508668,7377.211368,A,골목상권,이화달팽이길,200575,452995,11110,종로구,11110640,이화동,159124,1188,331,10,234,16,48
3110029,656984,9287166837,14136.06243,12642215728,909044,13907.15491,3355048891,252060,13310.5169,A,골목상권,동대문역 1번,200934,452953,11110,종로구,11110680,창신2동,153230,1016,115,5,377,17,32
3110030,56722,2016194204,35545.18889,3038687404,83022,36600.99015,1022493200,26300,38878.06844,A,골목상권,동대문역 3번,201063,452656,11110,종로구,11110670,창신1동,9161,196,44,2,350,6,8
3110031,4515,127845813,28315.79468,254349277,8009,31757.93195,126503464,3494,36205.91414,A,골목상권,창신역 1번,201298,453314,11110,종로구,11110690,창신3동,32878,338,100,1,9,1,24
3110032,7357,710819043,96618.05668,741433381,8271,89642.53186,30614338,914,33494.89934,A,골목상권,수족관거리,201321,452326,11110,종로구,11110670,창신1동,9323,171,13,1,39,3,4
3110033,11591,758815265,65465.90156,911201222,16205,56229.63419,152385957,4614,33026.86541,A,골목상권,창신역 4번,201471,453118,11110,종로구,11110700,숭인1동,77869,627,271,6,452,10,28
3110034,12029,508683041,42288.05728,716433994,18554,38613.4523,207750953,6525,31839.22651,A,골목상권,창신1동주민센터,201508,452344,11110,종로구,11110670,창신1동,29604,459,105,10,141,5,0
3110035,116742,1773759971,15193.84601,2403857118,151488,15868.30058,630097147,34746,18134.37941,A,골목상권,동묘앞역 2번,201699,452879,11110,종로구,11110710,숭인2동,95779,859,578,10,609,15,47
3110036,322779,2271354269,7036.871262,3304949233,493156,6701.630383,1033594964,170377,6066.516983,A,골목상권,동묘앞역 3번,201783,452612,11110,종로구,11110710,숭인2동,18431,352,203,6,75,6,12
3110037,259449,2071352121,7983.658141,2832043123,344876,8211.772124,760691002,85427,8904.573519,A,골목상권,신설동역 12번,201949,453159,11110,종로구,11110710,숭인2동,55232,660,486,8,249,11,29
3110038,817692,9705179667,11868.99183,11851343313,939606,12613.0988,2146163646,121914,17603.91461,A,골목상권,경향신문사,197253,451928,11140,중구,11140520,소공동,36893,308,327,8,100,5,48
3110039,54523,782260053,14347.34063,847386979,58805,14410.11783,65126926,4282,15209.46427,A,골목상권,회현역 1번,198305,450967,11140,중구,11140540,회현동,9928,131,0,0,50,3,4
3110040,187697,2805857563,14948.86739,3065291872,199474,15366.87424,259434309,11777,22028.89607,A,골목상권,중구회현체육센터(정화예술대남산캠퍼스),198420,450734,11140,중구,11140540,회현동,76242,682,118,7,207,18,13
