id,geom,grid_id,p_val,p_m,p_w,d_csv,d_coffee,d_kfood,d_pharm,d_salon,sido_cd,sido_nm,버스정류장수,1km이내_버스정류장_수,500m이내_버스정류장_수,300m이내_버스정류장_수,200m이내_버스정류장_수,100m이내_버스정류장_수,당월_매출_금액,당월_매출_건수,개업_점포_수,폐업_점포_수
796,"MULTIPOLYGON (((186781.69523390796 546090.8067736366, 186781.16360397998 546190.8415308519, 186881.19836661956 546191.3731662455, 186881.72999658875 546091.3383981386, 186781.69523390796 546090.8067736366)))",다사426463,0,0,0,0,0,0,0,0,11,서울특별시,0,33,5,0,0,0,0,0,0,0
814,"MULTIPOLYGON (((186883.32482113186 545791.2340935752, 186882.79322384312 545891.2688618024, 186982.82799749903 545891.8004645554, 186983.3595948251 545791.7656854345, 186883.32482113186 545791.2340935752)))",다사427460,464,223,241,0,0,0,0,0,11,서울특별시,0,28,5,4,1,0,0,0,0,0
817,"MULTIPOLYGON (((186881.72999658875 546091.3383981386, 186881.19836661956 546191.3731662455, 186981.2331401547 546191.9048016809, 186981.76477016223 546091.8700226804, 186881.72999658875 546091.3383981386)))",다사427463,0,0,0,0,0,0,0,0,11,서울특별시,0,31,7,2,0,0,0,0,0,0
1896,"MULTIPOLYGON (((189972.1783478391 548108.5208857137, 189971.64649873314 548208.5559906301, 190071.68160907264 548209.0878452038, 190072.21345822306 548109.0527293967, 189972.1783478391 548108.5208857137)))",다사458483,0,0,0,0,0,0,0,0,11,서울특별시,0,18,4,2,0,0,0,0,0,0
5,"MULTIPOLYGON (((184165.37356639488 548977.9842811776, 184164.84162160972 549078.0187541144, 184264.87609997188 549078.5507043644, 184265.40804479472 548978.5162205362, 184165.37356639488 548977.9842811776)))",다사400492,0,0,0,0,0,0,0,0,11,서울특별시,0,26,4,2,0,0,0,0,0,0
1916,"MULTIPOLYGON (((190172.2485794968 548109.5845731242, 190171.7167303027 548209.6196998222, 190271.75186242294 548210.1515544851, 190272.28371166228 548110.1164168963, 190172.2485794968 548109.5845731242)))",다사460483,0,0,0,0,0,0,0,0,11,서울특별시,0,21,2,1,0,0,0,0,0,0
46,"MULTIPOLYGON (((184478.24044461563 546578.7519538119, 184477.70876110415 546678.7864602985, 184577.74327301938 546679.3181492765, 184578.2749565668 546579.2836318957, 184478.24044461563 546578.7519538119)))",다사403468,0,0,0,0,0,0,0,0,11,서울특별시,0,8,0,0,0,0,0,0,0,0
1897,"MULTIPOLYGON (((189971.64649873314 548208.5559906301, 189971.11463873627 548308.5910955018, 190071.14974903167 548309.1229609656, 190071.68160907264 548209.0878452038, 189971.64649873314 548208.5559906301)))",다사458484,0,0,0,0,0,0,0,0,11,서울특별시,0,17,4,1,1,0,0,0,0,0
61,"MULTIPOLYGON (((184466.54089138727 548779.5110880426, 184466.0089682704 548879.5455937219, 184566.04347937435 548880.0775223008, 184566.57540252776 548780.0430057321, 184466.54089138727 548779.5110880426)))",다사403490,284,132,152,0,0,0,0,1,11,서울특별시,0,28,12,8,4,1,0,0,0,0
198,"MULTIPOLYGON (((184879.97354340344 546280.7750159762, 184879.44189241983 546380.8095661442, 184979.47644801784 546381.341222593, 184980.00809903615 546281.3066615298, 184879.97354340344 546280.7750159762)))",다사407465,176,86,90,0,0,0,0,0,11,서울특별시,0,23,7,3,0,0,0,0,0,0
200,"MULTIPOLYGON (((184878.91023054678 546480.844116277, 184878.3785577792 546580.8786663713, 184978.41311330005 546581.4103446045, 184978.94478610603 546481.3757836164, 184878.91023054678 546480.844116277)))",다사407467,0,0,0,0,0,0,0,0,11,서울특별시,0,24,4,0,0,0,0,0,0,0
201,"MULTIPOLYGON (((184878.3785577792 546580.8786663713, 184877.84687411864 546680.9132164282, 184977.8814296038 546681.4449055522, 184978.41311330005 546581.4103446045, 184878.3785577792 546580.8786663713)))",다사407468,0,0,0,0,0,0,0,0,11,서울특별시,0,23,0,0,0,0,0,0,0,0
