"id","geom","grid_id","p_val","p_m","p_w","p_20_val","p_20_m","p_20_w","p_30_val","p_30_m","p_30_w","p_40_val","p_40_m","p_40_w","p_50_val","p_50_m","p_50_w","p_60_val","p_60_m","p_60_w","d_csv","d_coffee","d_kfood","d_pharm","d_salon","sido_cd","sido_nm","버스정류장수","1km이내_버스정류장_수","500m이내_버스정류장_수","300m이내_버스정류장_수","200m이내_버스정류장_수","100m이내_버스정류장_수","당월_매출_금액","당월_매출_건수","개업_점포_수","폐업_점포_수"
797,"MULTIPOLYGON (((186781.16360397998 546190.8415308519, 186780.6319631583 546290.8762880269, 186880.66672575928 546291.4079343142, 186881.19836661956 546191.3731662455, 186781.16360397998 546190.8415308519)))",다사426464,244,122,122,35,19,16,33,18,15,30,16,14,49,25,24,34,14,20,0,0,0,0,0,"11",서울특별시,0,33,4,0,0,0,67625255.062500000000,96647.000000000000,8.0000000000000000,4.0000000000000000
798,"MULTIPOLYGON (((186780.6319631583 546290.8762880269, 186780.1003114444 546390.9110451622, 186880.13507400497 546391.4427023425, 186880.66672575928 546291.4079343142, 186780.6319631583 546290.8762880269)))",다사426465,346,184,162,44,20,24,50,38,12,37,21,16,64,30,34,65,33,32,0,0,0,0,2,"11",서울특별시,0,34,2,0,0,0,67625255.062500000000,96647.000000000000,8.0000000000000000,4.0000000000000000
803,"MULTIPOLYGON (((186777.97359566062 546791.0500733057, 186777.44188948488 546891.0848302399, 186877.4766518472 546891.6165418834, 186878.00835806358 546791.5817740562, 186777.97359566062 546791.0500733057)))",다사426470,78,38,40,10,0,0,9,0,0,0,0,0,20,10,10,10,0,0,0,0,0,0,0,"11",서울특별시,0,29,11,6,2,0,3681214285.71428571,6465330.000000000000,61.0000000000000000,77.0000000000000000
809,"MULTIPOLYGON (((186774.78319521755 547391.2586143248, 186774.2514236907 547491.2933710219, 186874.286185813 547491.8251480166, 186874.81795738038 547391.7903804266, 186774.78319521755 547391.2586143248)))",다사426476,216,103,113,30,15,15,50,26,24,22,9,13,37,18,19,27,15,12,0,0,0,0,0,"11",서울특별시,0,22,6,0,0,0,3681214285.71428571,6465330.000000000000,61.0000000000000000,77.0000000000000000
810,"MULTIPOLYGON (((186774.2514236907 547491.2933710219, 186773.7196412704 547591.3281276785, 186873.75440335256 547591.8599155641, 186874.286185813 547491.8251480166, 186774.2514236907 547491.2933710219)))",다사426477,335,175,160,38,19,19,36,21,15,65,40,25,35,19,16,75,38,37,0,1,0,0,0,"11",서울특별시,0,22,3,0,0,0,241728060.00000000,442490.000000000000,10.0000000000000000,12.0000000000000000
958,"MULTIPOLYGON (((187479.28054145674 546594.702312917, 187478.74885678192 546694.7371461797, 187578.78369547176 546695.2688363212, 187579.31538018776 546595.2339921648, 187479.28054145674 546594.702312917)))",다사433468,363,177,186,36,15,21,28,16,12,86,37,49,73,41,32,15,0,11,0,0,0,0,0,"11",서울특별시,0,44,9,1,0,0,1067603073.67407408,889111.500000000000,30.5000000000000000,31.5000000000000000
496,"MULTIPOLYGON (((185583.40534031237 545684.2887763227, 185582.87375442736 545784.323402973, 185682.90838650436 545784.8549943253, 185683.43997242668 545684.8203567822, 185583.40534031237 545684.2887763227)))",다사414459,244,121,123,15,9,6,44,21,23,51,27,24,26,11,15,24,8,16,0,0,0,0,0,"11",서울특별시,0,38,12,4,1,0,695653734.35000000,596045.000000000000,13.0000000000000000,6.0000000000000000
497,"MULTIPOLYGON (((185582.87375442736 545784.323402973, 185582.34215764838 545884.3580295821, 185682.37678968627 545884.8896318274, 185682.90838650436 545784.8549943253, 185582.87375442736 545784.323402973)))",다사414460,394,191,203,47,23,24,66,34,32,68,33,35,68,37,31,31,17,14,0,2,1,0,1,"11",서울특별시,0,38,13,2,1,0,695653734.35000000,596045.000000000000,13.0000000000000000,6.0000000000000000
498,"MULTIPOLYGON (((185582.34215764838 545884.3580295821, 185581.81054997482 545984.3926561552, 185681.845181974 545984.9242692948, 185682.37678968627 545884.8896318274, 185582.34215764838 545884.3580295821)))",다사414461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11",서울특별시,0,38,14,2,1,0,695653734.35000000,596045.000000000000,13.0000000000000000,6.0000000000000000
646,"MULTIPOLYGON (((186078.2622588414 546687.293488427, 186077.73056383102 546787.328169156, 186177.7652499862 546787.859869631, 186178.2969450355 546687.8251780091, 186078.2622588414 546687.293488427)))",다사419469,490,245,245,57,27,30,59,36,23,75,45,30,81,40,41,102,42,60,0,0,0,0,0,"11",서울특별시,0,27,8,3,2,1,1096672969.42857143,2070362.000000000000,17.0000000000000000,24.0000000000000000
